AccountNumber,HomeBranch,FirstName,MiddleInitial,LastName,AccountBalance,DateOpened,DateOfLastTransaction
796505,Wilmington,Maggie,O,Aiello,555358.59,12/14/20,2/3/21
965772,Wilmington,Maisie,H,Gutierrez,572693.79,1/20/12,1/22/21
935370,Charlotte,Alla,C,Spoto,16796.25,4/20/18,1/10/21
905434,Raleigh,Paulina,J,Schwing,326177.35,10/3/00,1/9/21
979827,Charlotte,Ronni,A,Casterline,331198.96,12/1/95,1/17/21
180844,Winston-Salem,Josephina,V,Nephew,624618.38,9/5/19,1/19/21
873003,Winston-Salem,Jose,M,Palmore,703617.46,1/27/03,2/4/21
522162,Durham,Jillian,Q,Ord,960185.5,8/29/96,2/2/21
800191,Raleigh,Colin,N,Brandy,418086.7,12/27/16,1/11/21
344890,Greensboro,Dannette,D,Wilds,16212.51,4/25/10,1/26/21
387164,Durham,Judith,Y,Hays,817527.76,1/4/20,1/14/21
701552,Raleigh,Mistie,C,Gaylor,449586.71,10/10/14,1/15/21
229215,Durham,Lavonia,G,Barcelo,968299.61,12/6/14,1/8/21
111320,Asheville,Reyna,S,Longenecker,724898.23,10/2/06,1/21/21
452414,Charlotte,Selina,Z,Keating,344240.67,10/11/00,1/13/21
966802,Charlotte,Malcom,K,Bornstein,59100.96,10/15/04,1/17/21
441835,Asheville,Jonathan,F,Maliszewski,486652.3,1/11/96,2/2/21
128496,Winston-Salem,Cynthia,G,Snyder,74059.18,2/22/12,1/16/21
411085,Charlotte,Josiah,C,Mayfield,370207.23,10/16/09,2/1/21
110406,Durham,Lavelle,D,Backman,823262.51,1/4/03,1/19/21
816918,Durham,Boyce,P,Polite,87108.75,3/22/19,1/28/21
183296,Raleigh,Jannet,M,Bauder,22874.89,8/8/97,1/14/21
797070,Winston-Salem,Veda,T,Fonte,488902.23,6/28/04,1/7/21
153477,Charlotte,Andrea,R,Boyington,106478.8,5/12/15,1/9/21
262716,Asheville,Coralee,U,Richardson,100837.74,2/8/17,1/17/21
311857,Durham,Alia,L,Loney,481376.6,6/18/00,1/30/21
317311,Charlotte,Marketta,Z,Marcos,630931.56,2/24/15,1/7/21
696746,Greensboro,Sharen,W,Smythe,104307.03,2/8/95,1/26/21
432059,Raleigh,Temple,A,Elvin,626288.55,5/17/16,1/20/21
125086,Charlotte,Carley,N,Altman,610431.45,8/24/94,2/3/21
529761,Greensboro,Anika,G,Didion,306093.87,8/21/18,1/25/21
243971,Asheville,Leslee,C,Parks,423434.83,11/25/04,1/15/21
940688,Winston-Salem,Julio,E,Sartain,698710.8,7/20/08,1/17/21
366153,Charlotte,Dorthey,B,Fines,67431.95,2/10/14,1/10/21
230046,Asheville,Clarinda,A,Caley,422750.11,3/24/08,2/3/21
398638,Charlotte,Jackeline,J,Pergande,708189.81,11/22/15,2/3/21
914535,Durham,Jerrica,V,Hewett,693019.7,2/22/98,1/13/21
514264,Charlotte,Marion,T,Curnutte,882594.34,9/24/11,1/31/21
419451,Charlotte,Juliane,P,Wischmeier,156395.6,5/3/00,1/27/21
815148,Raleigh,Shelli,T,Foret,920097.67,1/16/98,1/29/21
144552,Durham,Maricela,W,Giammarino,53136.61,11/30/19,1/8/21
325491,Greensboro,Jinny,S,Chretien,499910.35,11/18/19,1/17/21
615429,Charlotte,Morton,E,Negley,11306.22,1/8/09,1/13/21
603845,Greensboro,Sherryl,Y,Stoll,807999.46,6/15/95,1/17/21
872934,Durham,Bonita,G,Uselton,305698.41,3/29/03,1/10/21
341722,Raleigh,Sari,S,Kissinger,767729.24,7/11/15,1/10/21
